"event","experiment time","system time","system time text"
"START",0.000000000E0,1781011021.794,"2026-06-09 10:17:01.794 UTC-03:00"
"PAUSE",5.233724370E1,1781011074.132,"2026-06-09 10:17:54.132 UTC-03:00"
