"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.606853500E-2,0.000000000E0,3.000000026E-3,9.850950241E0
2.857657300E-2,-1.200000010E-2,3.195000067E-2,9.850950241E0
3.108549600E-2,-1.695000008E-2,2.505000122E-2,9.855000496E0
3.358857500E-2,-3.000000026E-3,3.000000026E-3,9.829050064E0
3.608887200E-2,-1.500000060E-2,1.305000018E-2,9.829050064E0
3.858918000E-2,-1.500000060E-2,6.000000052E-3,9.808050156E0
4.108956500E-2,-1.695000008E-2,1.500000060E-2,9.834000587E0
4.358987200E-2,-5.505000427E-2,1.995000057E-2,9.835950851E0
4.609017100E-2,-5.295000225E-2,7.950000465E-3,9.847950935E0
4.859070800E-2,-4.305000231E-2,3.000000026E-3,9.853050232E0
5.109101700E-2,-3.900000080E-2,-1.050000079E-3,9.826950073E0
5.359140000E-2,-4.095000029E-2,1.050000079E-3,9.835950851E0
5.609172400E-2,-6.000000238E-2,1.050000079E-3,9.853050232E0
5.859226000E-2,-4.305000231E-2,1.005000062E-2,9.850950241E0
6.109257000E-2,-1.200000010E-2,-1.050000079E-3,9.834000587E0
6.359295200E-2,-1.905000024E-2,-1.005000062E-2,9.826950073E0
6.609326200E-2,-1.905000024E-2,-1.005000062E-2,9.819000244E0
6.859380300E-2,-1.005000062E-2,1.305000018E-2,9.831000328E0
7.109411300E-2,-2.700000070E-2,2.505000122E-2,9.838950157E0
7.359449600E-2,0.000000000E0,2.505000122E-2,9.853050232E0
7.609503400E-2,-3.000000026E-3,1.005000062E-2,9.843000412E0
7.859510300E-2,-1.200000010E-2,3.000000119E-2,9.846000671E0
8.109571700E-2,-1.695000008E-2,3.900000080E-2,9.826950073E0
8.359602600E-2,-1.500000060E-2,4.905000329E-2,9.822000504E0
8.609656300E-2,-2.400000021E-2,2.505000122E-2,9.835950851E0
8.859687200E-2,-2.205000073E-2,2.505000122E-2,9.834000587E0
9.109728400E-2,-1.905000024E-2,3.195000067E-2,9.835950851E0
9.359759400E-2,-5.805000290E-2,2.700000070E-2,9.841050148E0
9.609813000E-2,-5.100000277E-2,3.900000080E-2,9.855000496E0
9.859844000E-2,-7.005000114E-2,4.395000264E-2,9.858000755E0
1.010987620E-1,-7.200000435E-2,3.405000269E-2,9.847950935E0
1.035991440E-1,-5.505000427E-2,2.205000073E-2,9.838950157E0
1.060996830E-1,-2.400000021E-2,3.900000080E-2,9.829050064E0
1.085999920E-1,-2.895000204E-2,2.505000122E-2,9.831000328E0
1.111003750E-1,-2.700000070E-2,3.900000080E-2,9.829050064E0
1.136006850E-1,-3.105000220E-2,4.095000029E-2,9.834000587E0
1.161009920E-1,-3.900000080E-2,4.395000264E-2,9.855000496E0
1.186015290E-1,-1.500000060E-2,4.605000094E-2,9.846000671E0
1.211018390E-1,-1.905000024E-2,4.095000029E-2,9.853050232E0
1.236022400E-1,0.000000000E0,6.795000285E-2,9.843000412E0
1.261025500E-1,0.000000000E0,6.495000422E-2,9.835950851E0
1.286030860E-1,-1.695000008E-2,7.005000114E-2,9.831000328E0
1.311033960E-1,-3.105000220E-2,6.105000153E-2,9.847950935E0
1.336037840E-1,-1.695000008E-2,6.495000422E-2,9.834000587E0
1.361043220E-1,-3.105000220E-2,6.495000422E-2,9.829050064E0
1.386046320E-1,-3.405000269E-2,7.304999977E-2,9.834000587E0
1.411049400E-1,-5.295000225E-2,7.500000298E-2,9.846000671E0
1.436053220E-1,-6.705000252E-2,6.495000422E-2,9.858000755E0
1.461056220E-1,-4.605000094E-2,6.495000422E-2,9.859950066E0
1.486061580E-1,-5.295000225E-2,5.595000088E-2,9.859950066E0
1.511064680E-1,-5.505000427E-2,5.100000277E-2,9.823950768E0
1.536068510E-1,-4.605000094E-2,4.605000094E-2,9.838950157E0
1.561071550E-1,-3.900000080E-2,4.395000264E-2,9.841050148E0
1.586076920E-1,-3.000000026E-3,5.295000225E-2,9.850950241E0
1.611080020E-1,-1.695000008E-2,3.900000080E-2,9.838950157E0
1.636083840E-1,-2.400000021E-2,4.605000094E-2,9.831000328E0
1.661086750E-1,-1.200000010E-2,7.304999977E-2,9.843000412E0
1.686092110E-1,-1.200000010E-2,6.300000101E-2,9.859950066E0
1.711095210E-1,-4.950000439E-3,6.495000422E-2,9.855000496E0
1.736099040E-1,-1.005000062E-2,6.495000422E-2,9.838950157E0
1.761102180E-1,6.000000052E-3,7.005000114E-2,9.822000504E0
1.786107550E-1,-1.005000062E-2,7.500000298E-2,9.823950768E0
1.811111410E-1,-4.950000439E-3,8.895000070E-2,9.817050934E0
1.836114490E-1,-1.905000024E-2,8.895000070E-2,9.843000412E0
1.861119860E-1,-1.695000008E-2,9.405000508E-2,9.846000671E0
1.886122900E-1,-4.305000231E-2,7.995000482E-2,9.838950157E0
1.911126730E-1,-3.405000269E-2,9.405000508E-2,9.831000328E0
1.936129830E-1,-2.400000021E-2,7.304999977E-2,9.850950241E0
1.961135190E-1,-2.400000021E-2,7.005000114E-2,9.850950241E0
1.986138240E-1,-2.205000073E-2,8.895000070E-2,9.834000587E0
2.011142060E-1,-3.105000220E-2,7.304999977E-2,9.823950768E0
2.036145160E-1,-2.895000204E-2,6.300000101E-2,9.841050148E0
2.061150530E-1,-7.050000131E-3,5.595000088E-2,9.829050064E0
2.086153620E-1,-7.050000131E-3,6.795000285E-2,9.838950157E0
2.111157360E-1,1.605000161E-2,7.995000482E-2,9.841050148E0
2.136160460E-1,3.195000067E-2,7.304999977E-2,9.846000671E0
2.161163530E-1,1.050000079E-3,8.505000174E-2,9.841050148E0
2.186168990E-1,1.800000109E-2,7.304999977E-2,9.841050148E0
2.211172080E-1,3.000000119E-2,7.995000482E-2,9.847950935E0
2.236175910E-1,4.695000127E-2,9.705000371E-2,9.838950157E0
2.261179010E-1,1.995000057E-2,9.405000508E-2,9.810000420E0
2.286184030E-1,1.095000096E-2,8.205000311E-2,9.826950073E0
2.311187900E-1,1.095000096E-2,9.195000678E-2,9.822000504E0
2.336190980E-1,2.805000171E-2,7.695000619E-2,9.829050064E0
2.361196340E-1,1.800000109E-2,9.405000508E-2,9.841050148E0
2.386199440E-1,4.050000105E-3,8.700000495E-2,9.850950241E0
2.411203170E-1,-1.500000060E-2,7.500000298E-2,9.853050232E0
2.436206270E-1,1.095000096E-2,6.495000422E-2,9.862950325E0
2.461211640E-1,2.505000122E-2,6.495000422E-2,9.850950241E0
2.486214730E-1,3.000000119E-2,4.605000094E-2,9.819000244E0
2.511218410E-1,2.805000171E-2,6.300000101E-2,9.831000328E0
2.536221510E-1,2.295000106E-2,4.905000329E-2,9.843000412E0
2.561224580E-1,3.000000119E-2,7.304999977E-2,9.846000671E0
2.586229950E-1,4.200000316E-2,6.300000101E-2,9.859950066E0
2.611232850E-1,4.905000329E-2,5.100000277E-2,9.862950325E0
2.636236680E-1,7.500000298E-2,7.695000619E-2,9.859950066E0
2.661239780E-1,7.800000161E-2,9.195000678E-2,9.826950073E0
2.686245140E-1,6.300000101E-2,8.205000311E-2,9.838950157E0
2.711248140E-1,8.295000345E-2,7.995000482E-2,9.826950073E0
2.736251970E-1,6.795000285E-2,7.695000619E-2,9.834000587E0
2.761255060E-1,6.795000285E-2,7.995000482E-2,9.835950851E0
2.786260430E-1,6.105000153E-2,7.695000619E-2,9.835950851E0
2.811264290E-1,6.599999964E-2,8.205000311E-2,9.834000587E0
2.836267370E-1,4.695000127E-2,9.405000508E-2,9.850950241E0
2.861272730E-1,3.900000080E-2,8.700000495E-2,9.846000671E0
2.886275830E-1,2.805000171E-2,7.005000114E-2,9.838950157E0
2.911279420E-1,3.000000119E-2,6.105000153E-2,9.835950851E0
2.936282510E-1,4.395000264E-2,5.295000225E-2,9.843000412E0
2.961287880E-1,4.695000127E-2,8.205000311E-2,9.850950241E0
2.986290980E-1,5.100000277E-2,8.505000174E-2,9.843000412E0
3.011294800E-1,5.100000277E-2,5.805000290E-2,9.819000244E0
3.036297760E-1,5.895000324E-2,5.100000277E-2,9.829050064E0
3.061300840E-1,6.105000153E-2,5.100000277E-2,9.853050232E0
3.086306200E-1,6.105000153E-2,6.495000422E-2,9.859950066E0
3.111309300E-1,6.599999964E-2,6.795000285E-2,9.850950241E0
3.136313120E-1,7.995000482E-2,5.595000088E-2,9.841050148E0
3.161316220E-1,8.505000174E-2,6.795000285E-2,9.838950157E0
3.186321590E-1,7.995000482E-2,6.300000101E-2,9.834000587E0
3.211324680E-1,8.295000345E-2,7.500000298E-2,9.819000244E0
3.236328510E-1,5.595000088E-2,8.700000495E-2,9.829050064E0
3.261331560E-1,5.100000277E-2,8.205000311E-2,9.850950241E0
3.286336920E-1,4.395000264E-2,7.304999977E-2,9.847950935E0
3.311340790E-1,5.100000277E-2,7.005000114E-2,9.838950157E0
3.336343860E-1,4.200000316E-2,7.500000298E-2,9.846000671E0
3.361349230E-1,5.400000140E-2,6.795000285E-2,9.846000671E0
3.386352620E-1,4.695000127E-2,5.805000290E-2,9.834000587E0
3.411356440E-1,4.695000127E-2,6.495000422E-2,9.826950073E0
3.436359540E-1,3.195000067E-2,4.395000264E-2,9.838950157E0
3.461364900E-1,2.805000171E-2,3.405000269E-2,9.838950157E0
3.486367760E-1,3.195000067E-2,3.900000080E-2,9.847950935E0
3.511371590E-1,4.395000264E-2,3.405000269E-2,9.850950241E0
3.536374680E-1,6.599999964E-2,6.495000422E-2,9.846000671E0
3.561380050E-1,6.795000285E-2,3.900000080E-2,9.846000671E0
3.586383150E-1,5.895000324E-2,3.900000080E-2,9.835950851E0
3.611386970E-1,3.900000080E-2,4.605000094E-2,9.843000412E0
3.636390070E-1,5.400000140E-2,6.105000153E-2,9.847950935E0
3.661395430E-1,5.595000088E-2,6.105000153E-2,9.829050064E0
3.686398530E-1,4.200000316E-2,5.295000225E-2,9.829050064E0
3.711402360E-1,4.905000329E-2,6.105000153E-2,9.826950073E0
3.736405450E-1,3.195000067E-2,7.304999977E-2,9.853050232E0
3.761410820E-1,4.200000316E-2,8.505000174E-2,9.835950851E0
3.786413920E-1,1.995000057E-2,7.695000619E-2,9.838950157E0
3.811417740E-1,3.705000132E-2,6.495000422E-2,9.850950241E0
3.836420930E-1,1.995000057E-2,4.605000094E-2,9.834000587E0
