"event","experiment time","system time","system time text"
"START",0.000000000E0,1779816579.187,"2026-05-26 14:29:39.187 UTC-03:00"
"PAUSE",4.486687676E1,1779816624.054,"2026-05-26 14:30:24.054 UTC-03:00"
