"event","experiment time","system time","system time text"
"START",0.000000000E0,1781008699.447,"2026-06-09 09:38:19.447 UTC-03:00"
"PAUSE",6.660163854E1,1781008766.049,"2026-06-09 09:39:26.049 UTC-03:00"
