"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.257357450E-1,-3.299999982E-3,-2.612499986E-3,1.333750039E-2
1.282362860E-1,-3.299999982E-3,-1.649999991E-3,1.443750039E-2
1.307366700E-1,-2.199999988E-3,-5.499999970E-4,1.017499994E-2
1.332372840E-1,-1.374999993E-4,-1.649999991E-3,1.113750041E-2
1.357378380E-1,-1.374999993E-4,-5.499999970E-4,1.017499994E-2
1.382382230E-1,-2.199999988E-3,-5.499999970E-4,1.017499994E-2
1.407387590E-1,9.624999948E-4,-5.499999970E-4,1.113750041E-2
1.432393750E-1,-1.099999994E-3,-5.499999970E-4,9.074999951E-3
1.457397850E-1,-1.099999994E-3,-1.649999991E-3,9.074999951E-3
1.482403990E-1,-1.099999994E-3,-5.499999970E-4,6.874999963E-3
1.507407080E-1,-1.099999994E-3,-1.649999991E-3,9.074999951E-3
1.532413220E-1,-2.199999988E-3,-1.649999991E-3,9.074999951E-3
1.557418550E-1,-1.374999993E-4,-5.499999970E-4,1.017499994E-2
1.582424710E-1,-1.374999993E-4,-5.499999970E-4,7.974999957E-3
1.607428570E-1,-1.374999993E-4,-1.649999991E-3,1.017499994E-2
1.632434710E-1,-1.099999994E-3,-5.499999970E-4,1.113750041E-2
1.657437750E-1,-2.199999988E-3,1.649999991E-3,1.333750039E-2
1.682443890E-1,-1.099999994E-3,-5.499999970E-4,1.333750039E-2
1.707449270E-1,-1.374999993E-4,-5.499999970E-4,1.333750039E-2
1.732453140E-1,-1.099999994E-3,-2.612499986E-3,1.649999991E-2
1.757459270E-1,-1.374999993E-4,-1.649999991E-3,1.869999990E-2
1.782464830E-1,-1.099999994E-3,-2.612499986E-3,2.076249942E-2
1.807468670E-1,-1.099999994E-3,-5.499999970E-4,2.076249942E-2
1.832474810E-1,9.624999948E-4,1.649999991E-3,2.076249942E-2
1.857480210E-1,-1.099999994E-3,-5.499999970E-4,2.186249942E-2
1.882484010E-1,9.624999948E-4,-5.499999970E-4,2.282499894E-2
1.907490140E-1,9.624999948E-4,5.499999970E-4,2.282499894E-2
1.932495550E-1,-1.374999993E-4,1.649999991E-3,2.282499894E-2
1.957499390E-1,-1.099999994E-3,-1.649999991E-3,1.966249943E-2
1.982505380E-1,-1.099999994E-3,-1.649999991E-3,1.759999990E-2
2.007510780E-1,-1.099999994E-3,5.499999970E-4,1.759999990E-2
2.032514630E-1,-1.374999993E-4,-1.649999991E-3,1.539999992E-2
2.057520760E-1,-1.099999994E-3,-1.649999991E-3,1.443750039E-2
2.082525930E-1,-1.374999993E-4,-5.499999970E-4,1.113750041E-2
2.107529770E-1,9.624999948E-4,5.499999970E-4,9.074999951E-3
2.132535140E-1,-1.374999993E-4,-5.499999970E-4,4.812499974E-3
2.157541290E-1,9.624999948E-4,-5.499999970E-4,5.912499968E-3
2.182545160E-1,-1.374999993E-4,5.499999970E-4,3.712499980E-3
2.207550570E-1,9.624999948E-4,-5.499999970E-4,1.649999991E-3
2.232556730E-1,-1.099999994E-3,-5.499999970E-4,-5.499999970E-4
2.257560590E-1,-1.374999993E-4,-2.612499986E-3,-3.712499980E-3
2.282565960E-1,9.624999948E-4,-5.499999970E-4,-3.712499980E-3
2.307572210E-1,-1.374999993E-4,-1.649999991E-3,-5.774999969E-3
2.332576080E-1,9.624999948E-4,5.499999970E-4,-6.874999963E-3
2.357581440E-1,9.624999948E-4,1.649999991E-3,-6.874999963E-3
2.382585310E-1,9.624999948E-4,-5.499999970E-4,-1.003750041E-2
2.407591440E-1,3.162499983E-3,5.499999970E-4,-9.074999951E-3
2.432596560E-1,-1.374999993E-4,5.499999970E-4,-7.974999957E-3
2.457600400E-1,9.624999948E-4,5.499999970E-4,-7.974999957E-3
2.482605770E-1,9.624999948E-4,-5.499999970E-4,-9.074999951E-3
2.507611920E-1,-1.374999993E-4,-5.499999970E-4,-7.974999957E-3
2.532615740E-1,-1.374999993E-4,5.499999970E-4,-9.074999951E-3
2.557621100E-1,9.624999948E-4,-5.499999970E-4,-6.874999963E-3
2.582627260E-1,9.624999948E-4,5.499999970E-4,-5.774999969E-3
2.607631120E-1,9.624999948E-4,1.649999991E-3,-4.812499974E-3
2.632636390E-1,2.062499989E-3,5.499999970E-4,-2.612499986E-3
2.657642540E-1,9.624999948E-4,5.499999970E-4,-2.612499986E-3
2.682646410E-1,2.062499989E-3,5.499999970E-4,-2.612499986E-3
2.707651770E-1,9.624999948E-4,5.499999970E-4,-2.612499986E-3
2.732657640E-1,-1.374999993E-4,5.499999970E-4,-2.612499986E-3
2.757661500E-1,2.062499989E-3,-2.612499986E-3,-1.649999991E-3
2.782666870E-1,2.062499989E-3,-5.499999970E-4,-5.499999970E-4
2.807673020E-1,2.062499989E-3,1.649999991E-3,-1.649999991E-3
2.832676890E-1,2.062499989E-3,5.499999970E-4,-2.612499986E-3
2.857682010E-1,2.062499989E-3,1.649999991E-3,5.499999970E-4
2.882688170E-1,9.624999948E-4,-5.499999970E-4,-5.499999970E-4
2.907692030E-1,9.624999948E-4,5.499999970E-4,-5.499999970E-4
2.932697400E-1,-1.374999993E-4,1.649999991E-3,5.499999970E-4
2.957703460E-1,9.624999948E-4,-1.649999991E-3,1.649999991E-3
2.982707330E-1,9.624999948E-4,-1.649999991E-3,-5.499999970E-4
3.007712690E-1,-1.374999993E-4,5.499999970E-4,5.499999970E-4
3.032718850E-1,-1.374999993E-4,5.499999970E-4,5.499999970E-4
3.057722610E-1,9.624999948E-4,-1.649999991E-3,-5.499999970E-4
3.082727980E-1,2.062499989E-3,5.499999970E-4,-5.499999970E-4
3.107734130E-1,2.062499989E-3,5.499999970E-4,-1.649999991E-3
3.132738000E-1,2.062499989E-3,-1.649999991E-3,5.499999970E-4
3.157743020E-1,2.062499989E-3,-5.499999970E-4,5.499999970E-4
3.182746890E-1,2.062499989E-3,-5.499999970E-4,2.612499986E-3
3.207752250E-1,9.624999948E-4,1.649999991E-3,2.612499986E-3
3.232758410E-1,-1.374999993E-4,-1.649999991E-3,3.712499980E-3
3.257762220E-1,-1.374999993E-4,-1.649999991E-3,4.812499974E-3
3.282767590E-1,-1.374999993E-4,-1.649999991E-3,5.912499968E-3
3.307773740E-1,2.062499989E-3,-1.649999991E-3,6.874999963E-3
3.332777610E-1,9.624999948E-4,-1.649999991E-3,6.874999963E-3
3.357782970E-1,2.062499989E-3,5.499999970E-4,9.074999951E-3
3.382789230E-1,9.624999948E-4,-5.499999970E-4,1.017499994E-2
3.407793090E-1,9.624999948E-4,-5.499999970E-4,1.113750041E-2
3.432798460E-1,9.624999948E-4,5.499999970E-4,1.017499994E-2
3.457804610E-1,-1.374999993E-4,5.499999970E-4,1.223750040E-2
3.482808340E-1,9.624999948E-4,5.499999970E-4,1.113750041E-2
3.507813700E-1,9.624999948E-4,-5.499999970E-4,1.333750039E-2
3.532817570E-1,-1.374999993E-4,-1.649999991E-3,1.223750040E-2
3.557823700E-1,-1.374999993E-4,5.499999970E-4,1.017499994E-2
3.582829060E-1,-1.374999993E-4,-1.649999991E-3,9.074999951E-3
3.607832900E-1,9.624999948E-4,5.499999970E-4,7.974999957E-3
3.632839040E-1,2.062499989E-3,-1.649999991E-3,6.874999963E-3
3.657844440E-1,2.062499989E-3,-2.612499986E-3,4.812499974E-3
3.682848430E-1,-1.374999993E-4,-5.499999970E-4,6.874999963E-3
3.707854560E-1,9.624999948E-4,-1.649999991E-3,2.612499986E-3
3.732859970E-1,9.624999948E-4,-5.499999970E-4,3.712499980E-3
3.757863810E-1,-1.099999994E-3,-1.649999991E-3,2.612499986E-3
3.782869950E-1,-1.099999994E-3,-5.499999970E-4,-1.649999991E-3
3.807875350E-1,9.624999948E-4,5.499999970E-4,-3.712499980E-3
3.832879200E-1,2.062499989E-3,-1.649999991E-3,-2.612499986E-3
3.857885330E-1,9.624999948E-4,5.499999970E-4,-4.812499974E-3
3.882890450E-1,9.624999948E-4,-2.612499986E-3,-5.774999969E-3
3.907894290E-1,9.624999948E-4,-5.499999970E-4,-5.774999969E-3
3.932900430E-1,2.062499989E-3,-5.499999970E-4,-5.774999969E-3
3.957903520E-1,-1.374999993E-4,5.499999970E-4,-6.874999963E-3
3.982909660E-1,9.624999948E-4,-1.649999991E-3,-6.874999963E-3
4.007914900E-1,-1.374999993E-4,-1.649999991E-3,-5.774999969E-3
4.032918770E-1,2.062499989E-3,-2.612499986E-3,-6.874999963E-3
4.057924900E-1,-1.374999993E-4,5.499999970E-4,-4.812499974E-3
4.082930310E-1,-1.374999993E-4,-1.649999991E-3,-4.812499974E-3
4.107934150E-1,9.624999948E-4,5.499999970E-4,-4.812499974E-3
4.132940290E-1,9.624999948E-4,-5.499999970E-4,-4.812499974E-3
4.157945690E-1,2.062499989E-3,-5.499999970E-4,-4.812499974E-3
4.182949540E-1,3.162499983E-3,5.499999970E-4,-3.712499980E-3
4.207955670E-1,3.162499983E-3,5.499999970E-4,-3.712499980E-3
4.232961080E-1,9.624999948E-4,-5.499999970E-4,-2.612499986E-3
4.257964920E-1,-1.374999993E-4,-5.499999970E-4,-5.499999970E-4
4.282971060E-1,-1.374999993E-4,-5.499999970E-4,-1.649999991E-3
4.307976460E-1,2.062499989E-3,-5.499999970E-4,-2.612499986E-3
4.332980260E-1,2.062499989E-3,-5.499999970E-4,-2.612499986E-3
4.357986390E-1,2.062499989E-3,5.499999970E-4,5.499999970E-4
4.382991790E-1,2.062499989E-3,1.649999991E-3,5.499999970E-4
4.407995640E-1,2.062499989E-3,-2.612499986E-3,-5.499999970E-4
4.433001860E-1,9.624999948E-4,5.499999970E-4,5.499999970E-4
4.458007270E-1,9.624999948E-4,1.649999991E-3,1.649999991E-3
4.483011120E-1,9.624999948E-4,-1.649999991E-3,5.499999970E-4
4.508017250E-1,2.062499989E-3,-1.649999991E-3,5.499999970E-4
4.533022650E-1,2.062499989E-3,-2.612499986E-3,1.649999991E-3
4.558026500E-1,3.162499983E-3,5.499999970E-4,-1.649999991E-3
4.583032630E-1,9.624999948E-4,5.499999970E-4,-5.499999970E-4
4.608038040E-1,2.062499989E-3,-5.499999970E-4,-2.612499986E-3
4.633041890E-1,2.062499989E-3,-5.499999970E-4,-5.499999970E-4
4.658048120E-1,-1.374999993E-4,-5.499999970E-4,-2.612499986E-3
4.683051220E-1,2.062499989E-3,5.499999970E-4,-3.712499980E-3
4.708057350E-1,9.624999948E-4,-1.649999991E-3,-4.812499974E-3
4.733062730E-1,3.162499983E-3,5.499999970E-4,-3.712499980E-3
4.758068790E-1,9.624999948E-4,-1.649999991E-3,-3.712499980E-3
