"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.132535140E-1,2.205000073E-2,-3.299999982E-2,9.835950851E0
2.157541290E-1,3.900000080E-2,-4.005000368E-2,9.835950851E0
2.182545160E-1,2.505000122E-2,-3.495000303E-2,9.871950150E0
2.207550570E-1,1.305000018E-2,-3.299999982E-2,9.883950233E0
2.232556730E-1,1.305000018E-2,-3.000000119E-2,9.886950493E0
2.257560590E-1,3.900000080E-2,0.000000000E0,9.850950241E0
2.282565960E-1,6.300000101E-2,-1.305000018E-2,9.826950073E0
2.307572210E-1,5.805000290E-2,-6.000000052E-3,9.817050934E0
2.332576080E-1,5.100000277E-2,-2.505000122E-2,9.832050323E0
2.357581440E-1,1.500000060E-2,1.950000064E-3,9.862950325E0
2.382585310E-1,7.950000465E-3,1.200000010E-2,9.889050484E0
2.407591440E-1,1.500000060E-2,3.105000220E-2,9.877050400E0
2.432596560E-1,3.000000026E-3,2.595000155E-2,9.856050491E0
2.457600400E-1,-7.950000465E-3,2.895000204E-2,9.834000587E0
2.482605770E-1,-3.000000026E-3,2.895000204E-2,9.832050323E0
2.507611920E-1,-2.505000122E-2,2.895000204E-2,9.847950935E0
2.532615740E-1,-3.705000132E-2,4.500000179E-2,9.850950241E0
2.557621100E-1,-5.100000277E-2,7.200000435E-2,9.870000839E0
2.582627260E-1,-4.905000329E-2,7.695000619E-2,9.865050316E0
2.607631120E-1,-5.595000088E-2,8.595000207E-2,9.844050407E0
2.632636390E-1,-3.705000132E-2,8.595000207E-2,9.832050323E0
2.657642540E-1,-3.705000132E-2,1.009500027E-1,9.820050240E0
2.682646410E-1,-4.905000329E-2,7.905000448E-2,9.835950851E0
2.707651770E-1,-6.000000238E-2,7.905000448E-2,9.856050491E0
2.732657640E-1,-8.400000632E-2,6.195000187E-2,9.874950409E0
2.757661500E-1,-8.700000495E-2,4.305000231E-2,9.858000755E0
2.782666870E-1,-6.300000101E-2,4.305000231E-2,9.835950851E0
2.807673020E-1,-6.495000422E-2,1.395000052E-2,9.817050934E0
2.832676890E-1,-7.695000619E-2,-2.805000171E-2,9.798000336E0
2.857682010E-1,-8.205000311E-2,-6.795000285E-2,9.825000763E0
2.882688170E-1,-8.895000070E-2,-7.995000482E-2,9.850950241E0
2.907692030E-1,-9.405000508E-2,-7.304999977E-2,9.871950150E0
2.932697400E-1,-1.129500046E-1,-8.805000782E-2,9.871950150E0
2.957703460E-1,-9.195000678E-2,-8.505000174E-2,9.871950150E0
2.982707330E-1,-7.200000435E-2,-9.495000541E-2,9.834000587E0
3.007712690E-1,-9.195000678E-2,-1.120500043E-1,9.820050240E0
3.032718850E-1,-9.405000508E-2,-1.039500013E-1,9.835950851E0
3.057722610E-1,-1.110000089E-1,-8.295000345E-2,9.850950241E0
3.082727980E-1,-1.279500127E-1,-7.095000148E-2,9.859950066E0
3.107734130E-1,-1.630500108E-1,-3.000000119E-2,9.859950066E0
3.132738000E-1,-1.300500035E-1,-3.705000132E-2,9.841050148E0
3.157743020E-1,-1.159500033E-1,-3.495000303E-2,9.820050240E0
3.182746890E-1,-1.369500011E-1,-1.605000161E-2,9.826950073E0
3.207752250E-1,-1.680000126E-1,-2.505000122E-2,9.838950157E0
3.232758410E-1,-1.560000032E-1,0.000000000E0,9.844050407E0
3.257762220E-1,-1.540500075E-1,1.695000008E-2,9.862950325E0
3.282767590E-1,-1.560000032E-1,3.299999982E-2,9.853050232E0
3.307773740E-1,-1.390500069E-1,2.895000204E-2,9.829050064E0
