"event","experiment time","system time","system time text"
"START",0.000000000E0,1781011272.634,"2026-06-09 10:21:12.634 UTC-03:00"
"PAUSE",7.382351131E1,1781011346.457,"2026-06-09 10:22:26.457 UTC-03:00"
