"event","experiment time","system time","system time text"
"START",0.000000000E0,1781008177.308,"2026-06-09 09:29:37.308 UTC-03:00"
"PAUSE",7.076750585E1,1781008248.076,"2026-06-09 09:30:48.076 UTC-03:00"
