"event","experiment time","system time","system time text"
"START",0.000000000E0,1779817038.151,"2026-05-26 14:37:18.151 UTC-03:00"
"PAUSE",6.239052215E1,1779817100.541,"2026-05-26 14:38:20.541 UTC-03:00"
