"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.170536110E-1,-1.305000018E-2,2.595000155E-2,9.847950935E0
2.195540110E-1,-3.405000269E-2,3.105000220E-2,9.814950943E0
2.220545470E-1,-8.205000311E-2,2.595000155E-2,9.865050316E0
2.245548570E-1,-3.195000067E-2,2.595000155E-2,9.868050575E0
2.270552400E-1,7.950000465E-3,3.795000166E-2,9.829050064E0
2.295557780E-1,-1.050000079E-3,6.705000252E-2,9.825000763E0
2.320561650E-1,-3.705000132E-2,8.100000024E-2,9.870000839E0
2.345567010E-1,-2.700000070E-2,7.695000619E-2,9.838950157E0
2.370570880E-1,-1.305000018E-2,3.600000218E-2,9.826950073E0
2.395576240E-1,-3.000000026E-3,3.105000220E-2,9.834000587E0
2.420580160E-1,2.205000073E-2,6.495000422E-2,9.870000839E0
2.445585520E-1,7.500000298E-2,8.400000632E-2,9.817050934E0
2.470589390E-1,2.700000070E-2,7.905000448E-2,9.838950157E0
2.495594750E-1,-4.950000439E-3,5.700000376E-2,9.877050400E0
2.520598620E-1,6.000000052E-3,3.600000218E-2,9.870000839E0
2.545601560E-1,5.595000088E-2,5.505000427E-2,9.820050240E0
2.570606920E-1,2.205000073E-2,5.295000225E-2,9.826950073E0
2.595610790E-1,2.700000070E-2,4.995000362E-2,9.846000671E0
2.620616150E-1,1.800000109E-2,5.505000427E-2,9.847950935E0
2.645619730E-1,2.205000073E-2,5.505000427E-2,9.841050148E0
2.670625090E-1,2.700000070E-2,5.505000427E-2,9.859950066E0
2.695628960E-1,1.500000060E-2,7.905000448E-2,9.868050575E0
2.720632040E-1,5.100000277E-2,7.905000448E-2,9.841050148E0
2.745637210E-1,5.100000277E-2,4.500000179E-2,9.808050156E0
2.770641080E-1,3.000000119E-2,5.295000225E-2,9.868050575E0
2.795646440E-1,7.695000619E-2,1.030500084E-1,9.847950935E0
2.820650310E-1,1.009500027E-1,1.050000042E-1,9.813000679E0
2.845655670E-1,9.900000691E-2,8.100000024E-2,9.834000587E0
2.870659250E-1,9.195000678E-2,7.395000011E-2,9.858000755E0
2.895664610E-1,1.230000034E-1,9.300000221E-2,9.846000671E0
2.920668480E-1,1.540500075E-1,1.030500084E-1,9.810000420E0
2.945673840E-1,1.399500072E-1,1.030500084E-1,9.813000679E0
2.970677810E-1,1.369500011E-1,8.400000632E-2,9.847950935E0
2.995683180E-1,1.489500105E-1,9.300000221E-2,9.822000504E0
3.020687040E-1,1.200000048E-1,8.400000632E-2,9.825000763E0
3.045690120E-1,1.300500035E-1,1.030500084E-1,9.871950150E0
3.070695420E-1,1.609500051E-1,1.099500060E-1,9.856050491E0
3.095699290E-1,1.660500020E-1,7.200000435E-2,9.825000763E0
3.120704650E-1,1.560000032E-1,5.700000376E-2,9.838950157E0
3.145708520E-1,1.399500072E-1,5.295000225E-2,9.871950150E0
3.170713790E-1,1.900500059E-1,1.170000061E-1,9.835950851E0
3.195717660E-1,2.070000172E-1,8.400000632E-2,9.825000763E0
3.220723030E-1,1.759500057E-1,7.200000435E-2,9.870000839E0
3.245726120E-1,1.950000077E-1,7.395000011E-2,9.862950325E0
3.270729950E-1,2.190000117E-1,7.200000435E-2,9.834000587E0
3.295735330E-1,2.500500083E-1,8.100000024E-2,9.805050850E0
3.320739200E-1,2.670000196E-1,9.600000083E-2,9.826950073E0
3.345744560E-1,2.620500028E-1,9.795000404E-2,9.846000671E0
3.370748470E-1,2.449500114E-1,7.905000448E-2,9.829050064E0
3.395753840E-1,2.380500138E-1,7.695000619E-2,9.826950073E0
3.420757700E-1,2.740500271E-1,9.795000404E-2,9.870000839E0
3.445763070E-1,3.240000010E-1,1.120500043E-1,9.829050064E0
3.470766930E-1,2.950500250E-1,1.080000028E-1,9.801000595E0
3.495771970E-1,2.670000196E-1,8.400000632E-2,9.820050240E0
3.520775830E-1,2.310000062E-1,1.050000042E-1,9.850950241E0
3.545778910E-1,2.520000041E-1,1.170000061E-1,9.817050934E0
3.570784280E-1,2.740500271E-1,1.150500029E-1,9.814950943E0
3.595787950E-1,2.950500250E-1,9.600000083E-2,9.858000755E0
3.620793320E-1,2.689500153E-1,8.895000070E-2,9.858000755E0
3.645797180E-1,2.740500271E-1,8.400000632E-2,9.834000587E0
3.670802550E-1,2.620500028E-1,8.595000207E-2,9.826950073E0
3.695806310E-1,3.190500140E-1,9.600000083E-2,9.835950851E0
3.720809390E-1,3.190500140E-1,9.105000645E-2,9.829050064E0
3.745815520E-1,2.980500162E-1,7.695000619E-2,9.858000755E0
3.770820910E-1,3.019500077E-1,7.905000448E-2,9.853050232E0
3.795824680E-1,3.340500295E-1,9.600000083E-2,9.847950935E0
3.820830050E-1,3.889500201E-1,9.105000645E-2,9.822000504E0
3.845833920E-1,3.649500310E-1,8.595000207E-2,9.820050240E0
3.870836990E-1,3.240000010E-1,9.600000083E-2,9.846000671E0
3.895842360E-1,2.809500098E-1,1.150500029E-1,9.846000671E0
3.920846030E-1,3.000000119E-1,1.009500027E-1,9.841050148E0
3.945851400E-1,3.340500295E-1,1.240500063E-1,9.826950073E0
3.970855260E-1,3.430500031E-1,1.200000048E-1,9.853050232E0
3.995860630E-1,3.070500195E-1,1.150500029E-1,9.834000587E0
4.020863530E-1,2.689500153E-1,1.120500043E-1,9.813000679E0
4.045867350E-1,2.550000250E-1,1.290000081E-1,9.820050240E0
4.070872740E-1,2.569500208E-1,1.390500069E-1,9.829050064E0
4.095876410E-1,2.639999986E-1,1.170000061E-1,9.846000671E0
4.120881780E-1,2.500500083E-1,1.080000028E-1,9.832050323E0
4.145885640E-1,2.689500153E-1,1.030500084E-1,9.853050232E0
4.170891010E-1,3.070500195E-1,1.290000081E-1,9.846000671E0
4.195894880E-1,3.289500177E-1,1.170000061E-1,9.820050240E0
4.220900240E-1,3.070500195E-1,9.300000221E-2,9.822000504E0
4.245903870E-1,2.639999986E-1,1.099500060E-1,9.841050148E0
4.270909230E-1,2.670000196E-1,1.050000042E-1,9.856050491E0
4.295913100E-1,3.070500195E-1,1.120500043E-1,9.844050407E0
4.320918460E-1,3.460500240E-1,1.150500029E-1,9.846000671E0
4.345921420E-1,3.310500085E-1,1.030500084E-1,9.834000587E0
4.370925240E-1,2.710500062E-1,8.595000207E-2,9.829050064E0
4.395930630E-1,2.350500077E-1,1.150500029E-1,9.834000587E0
4.420934500E-1,2.280000150E-1,1.410000026E-1,9.829050064E0
4.445939570E-1,2.329500169E-1,1.410000026E-1,9.820050240E0
4.470943440E-1,2.310000062E-1,1.319999993E-1,9.850950241E0
4.495948800E-1,2.020500153E-1,9.795000404E-2,9.865050316E0
4.520952670E-1,2.020500153E-1,1.290000081E-1,9.868050575E0
4.545955690E-1,2.230500132E-1,1.440000087E-1,9.826950073E0
4.570961060E-1,1.900500059E-1,1.579500139E-1,9.805050850E0
4.595964930E-1,2.040000111E-1,1.459500045E-1,9.826950073E0
4.620970290E-1,1.660500020E-1,1.219500080E-1,9.826950073E0
4.645974160E-1,1.680000126E-1,1.200000048E-1,9.850950241E0
4.670979330E-1,2.040000111E-1,1.410000026E-1,9.846000671E0
4.695983200E-1,2.740500271E-1,1.339500099E-1,9.858000755E0
4.720988560E-1,2.779500186E-1,1.270500124E-1,9.822000504E0
4.745992430E-1,2.310000062E-1,1.009500027E-1,9.835950851E0
4.770997740E-1,1.879500151E-1,1.120500043E-1,9.834000587E0
4.796001610E-1,2.089500129E-1,1.240500063E-1,9.844050407E0
4.821006970E-1,2.449500114E-1,1.099500060E-1,9.829050064E0
4.846010840E-1,2.350500077E-1,9.795000404E-2,9.825000763E0
4.871013920E-1,2.280000150E-1,1.099500060E-1,9.846000671E0
4.896019280E-1,1.920000017E-1,1.240500063E-1,9.834000587E0
4.921023150E-1,1.800000072E-1,1.099500060E-1,9.834000587E0
4.946028510E-1,1.469999999E-1,1.319999993E-1,9.826950073E0
4.971032040E-1,1.350000054E-1,1.219500080E-1,9.835950851E0
4.996037400E-1,1.180500090E-1,1.200000048E-1,9.856050491E0
5.021041270E-1,1.200000048E-1,1.120500043E-1,9.858000755E0
5.046046630E-1,1.609500051E-1,1.150500029E-1,9.853050232E0
5.071049540E-1,1.900500059E-1,1.200000048E-1,9.835950851E0
5.096055670E-1,1.680000126E-1,1.009500027E-1,9.844050407E0
5.121058770E-1,1.369500011E-1,1.050000042E-1,9.844050407E0
5.146062620E-1,1.590000093E-1,1.219500080E-1,9.847950935E0
5.171067980E-1,1.990500093E-1,1.150500029E-1,9.820050240E0
5.196071990E-1,2.569500208E-1,9.600000083E-2,9.846000671E0
5.221077350E-1,2.350500077E-1,7.905000448E-2,9.834000587E0
5.246081220E-1,2.620500028E-1,8.895000070E-2,9.846000671E0
5.271086580E-1,2.350500077E-1,9.105000645E-2,9.838950157E0
5.296090450E-1,2.209500074E-1,8.895000070E-2,9.825000763E0
5.321095820E-1,2.230500132E-1,8.400000632E-2,9.829050064E0
5.346099680E-1,2.140500098E-1,7.395000011E-2,9.834000587E0
5.371102760E-1,1.830000132E-1,5.505000427E-2,9.858000755E0
5.396108120E-1,1.900500059E-1,6.495000422E-2,9.846000671E0
5.421111900E-1,2.190000117E-1,6.495000422E-2,9.834000587E0
5.446117260E-1,2.260500044E-1,8.100000024E-2,9.814950943E0
5.471121130E-1,1.729500145E-1,7.200000435E-2,9.832050323E0
