"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.513808000E-3,6.000000052E-3,1.870500147E-1,9.841050148E0
2.801823600E-2,-4.605000094E-2,1.270500124E-1,9.838950157E0
3.051781000E-2,-2.700000070E-2,1.219500080E-1,9.846000671E0
3.301834600E-2,-3.405000269E-2,1.150500029E-1,9.895950317E0
3.551896200E-2,-3.900000080E-2,1.339500099E-1,9.793050766E0
3.801934800E-2,3.000000026E-3,1.459500045E-1,9.760050774E0
4.051989900E-2,-6.300000101E-2,1.410000026E-1,9.910950661E0
4.302028600E-2,-4.905000329E-2,1.510500014E-1,9.883950233E0
4.552089900E-2,-2.205000073E-2,1.699500084E-1,9.673950195E0
4.802143900E-2,-4.950000439E-3,1.770000011E-1,9.871950150E0
5.052183300E-2,-3.195000067E-2,2.029500157E-1,9.874950409E0
5.302237000E-2,-5.595000088E-2,2.080500126E-1,9.801000595E0
5.552298500E-2,3.705000132E-2,1.630500108E-1,9.895950317E0
5.802337200E-2,-3.900000080E-2,1.840500087E-1,9.853050232E0
6.052390300E-2,1.995000057E-2,1.800000072E-1,9.817050934E0
6.302451800E-2,-7.950000465E-3,1.819500029E-1,9.886950493E0
6.552482800E-2,1.050000079E-3,1.530000120E-1,9.844050407E0
6.802544100E-2,1.800000109E-2,1.510500014E-1,9.805050850E0
7.052582800E-2,-3.000000026E-3,1.240500063E-1,9.859950066E0
7.302637000E-2,-7.950000465E-3,1.339500099E-1,9.859950066E0
7.552675600E-2,-2.505000122E-2,1.120500043E-1,9.835950851E0
7.802737000E-2,-1.005000062E-2,9.795000404E-2,9.874950409E0
8.052791000E-2,-2.700000070E-2,9.600000083E-2,9.850950241E0
8.302832500E-2,-1.500000060E-2,8.400000632E-2,9.847950935E0
8.552886100E-2,2.205000073E-2,8.595000207E-2,9.844050407E0
8.802947700E-2,1.305000018E-2,6.900000572E-2,9.834000587E0
9.052986300E-2,1.800000109E-2,7.395000011E-2,9.838950157E0
9.303039500E-2,3.900000080E-2,6.195000187E-2,9.846000671E0
9.553078100E-2,6.495000422E-2,6.195000187E-2,9.835950851E0
9.803139500E-2,7.005000114E-2,8.595000207E-2,9.835950851E0
1.005319350E-1,8.205000311E-2,9.600000083E-2,9.853050232E0
1.030323440E-1,9.405000508E-2,8.100000024E-2,9.826950073E0
1.055328800E-1,1.009500027E-1,6.705000252E-2,9.850950241E0
1.080334960E-1,8.895000070E-2,6.195000187E-2,9.847950935E0
1.105338820E-1,9.195000678E-2,3.299999982E-2,9.832050323E0
1.130344190E-1,1.060500070E-1,2.895000204E-2,9.814950943E0
1.155348290E-1,1.090500057E-1,2.400000021E-2,9.822000504E0
1.180354430E-1,8.505000174E-2,1.950000064E-3,9.838950157E0
1.205359830E-1,9.705000371E-2,1.005000062E-2,9.846000671E0
1.230363680E-1,9.900000691E-2,-6.000000052E-3,9.853050232E0
1.255370090E-1,9.405000508E-2,-1.305000018E-2,9.853050232E0
1.280375500E-1,7.500000298E-2,-2.505000122E-2,9.856050491E0
1.305379340E-1,8.895000070E-2,-4.695000127E-2,9.856050491E0
1.330384710E-1,8.700000495E-2,-3.495000303E-2,9.841050148E0
1.355388760E-1,1.009500027E-1,-2.100000158E-2,9.844050407E0
1.380394900E-1,1.110000089E-1,-2.295000106E-2,9.838950157E0
1.405400300E-1,1.159500033E-1,-2.295000106E-2,9.846000671E0
1.430404150E-1,1.200000048E-1,-2.295000106E-2,9.847950935E0
1.455409510E-1,1.039500013E-1,-6.000000052E-3,9.844050407E0
1.480413380E-1,1.159500033E-1,0.000000000E0,9.856050491E0
1.505419510E-1,1.440000087E-1,0.000000000E0,9.838950157E0
1.530424920E-1,1.369500011E-1,7.050000131E-3,9.841050148E0
1.555428760E-1,1.319999993E-1,4.950000439E-3,9.829050064E0
1.580434180E-1,1.230000034E-1,-4.050000105E-3,9.846000671E0
1.605440330E-1,1.180500090E-1,4.950000439E-3,9.838950157E0
1.630444200E-1,9.900000691E-2,-4.050000105E-3,9.835950851E0
1.655449560E-1,8.895000070E-2,-2.100000158E-2,9.838950157E0
1.680453570E-1,9.195000678E-2,-1.800000109E-2,9.825000763E0
1.705459700E-1,5.805000290E-2,-4.050000105E-3,9.825000763E0
1.730465110E-1,5.595000088E-2,-2.295000106E-2,9.862950325E0
1.755468950E-1,3.195000067E-2,-2.295000106E-2,9.858000755E0
1.780474280E-1,2.700000070E-2,-3.705000132E-2,9.862950325E0
1.805480430E-1,1.005000062E-2,-2.505000122E-2,9.834000587E0
1.830484300E-1,1.050000079E-3,-3.299999982E-2,9.846000671E0
1.855489660E-1,-7.950000465E-3,-1.800000109E-2,9.838950157E0
1.880493530E-1,-2.700000070E-2,-1.605000161E-2,9.841050148E0
1.905499560E-1,-4.950000439E-3,4.950000439E-3,9.850950241E0
1.930504970E-1,1.305000018E-2,-1.050000079E-3,9.853050232E0
1.955508810E-1,6.000000052E-3,-1.305000018E-2,9.858000755E0
1.980514180E-1,3.000000026E-3,7.050000131E-3,9.856050491E0
2.005520230E-1,3.000000119E-2,1.695000008E-2,9.856050491E0
2.030524100E-1,1.300500035E-1,4.995000362E-2,9.834000587E0
2.055529460E-1,5.730000138E-1,2.389500141E-1,9.910950661E0
2.080535620E-1,1.227000117E0,3.810000122E-1,9.789000511E0
2.105539480E-1,6.880500317E-1,3.420000076E-1,9.685950279E0
2.130544850E-1,2.880000174E-1,1.770000011E-1,9.853050232E0
2.155548720E-1,-7.200000435E-2,1.950000064E-3,9.846000671E0
2.180554080E-1,-4.605000094E-2,-7.995000482E-2,9.757050514E0
2.205557950E-1,-5.295000225E-2,-4.695000127E-2,9.889050484E0
2.230564080E-1,8.205000311E-2,-3.299999982E-2,9.963000298E0
2.255569480E-1,7.304999977E-2,-6.795000285E-2,9.825000763E0
2.280573330E-1,2.449500114E-1,-1.120500043E-1,9.870000839E0
2.305578700E-1,3.670500219E-1,-1.830000132E-1,9.883950233E0
2.330584850E-1,3.220500052E-1,-1.090500057E-1,9.784050941E0
2.355588720E-1,3.000000119E-2,-7.995000482E-2,9.796050072E0
2.380594080E-1,-1.080000028E-1,-1.240500063E-1,9.825000763E0
2.405597950E-1,-2.950500250E-1,-1.189500093E-1,9.817050934E0
2.430604080E-1,-2.380500138E-1,-1.039500013E-1,9.868050575E0
2.455609490E-1,-7.005000114E-2,-3.299999982E-2,9.898950577E0
2.480613330E-1,-3.405000269E-2,-4.005000368E-2,9.826950073E0
2.505618700E-1,-1.500000060E-2,-9.495000541E-2,9.847950935E0
2.530624850E-1,2.760000229E-1,-2.190000117E-1,9.916050911E0
2.555628470E-1,3.340500295E-1,-2.050500065E-1,9.801000595E0
2.580633830E-1,7.695000619E-2,-1.020000055E-1,9.786000252E0
2.605639980E-1,-1.080000028E-1,-6.105000153E-2,9.835950851E0
2.630643850E-1,-3.289500177E-1,-8.295000345E-2,9.786000252E0
2.655649270E-1,-5.490000248E-1,-1.519500017E-1,9.826950073E0
2.680653130E-1,-4.170000255E-1,-1.810500026E-1,9.913050652E0
2.705659270E-1,-3.070500195E-1,-1.279500127E-1,9.889050484E0
2.730664670E-1,-3.139500022E-1,-8.805000782E-2,9.862950325E0
2.755668520E-1,-4.990500212E-1,-1.279500127E-1,9.942000389E0
2.780673540E-1,-5.299500227E-1,-1.740000099E-1,9.904050827E0
2.805679700E-1,-3.619500101E-1,-1.690500081E-1,9.814950943E0
2.830683560E-1,-2.209500074E-1,-1.519500017E-1,9.793050766E0
2.855688930E-1,-2.590500116E-1,-1.309500039E-1,9.781050682E0
2.880692750E-1,-3.960000277E-1,-1.429500133E-1,9.793050766E0
