"event","experiment time","system time","system time text"
"START",0.000000000E0,1779817141.901,"2026-05-26 14:39:01.901 UTC-03:00"
"PAUSE",5.339274184E1,1779817195.293,"2026-05-26 14:39:55.293 UTC-03:00"
