"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.256878740E-1,-1.374999993E-4,5.499999970E-4,5.376249924E-2
1.281882610E-1,2.062499989E-3,1.649999991E-3,5.376249924E-2
1.306887970E-1,-1.374999993E-4,5.499999970E-4,5.376249924E-2
1.331891070E-1,9.624999948E-4,5.499999970E-4,5.376249924E-2
1.356897150E-1,9.624999948E-4,2.612499986E-3,5.266249925E-2
1.381900250E-1,9.624999948E-4,5.499999970E-4,5.376249924E-2
1.406904100E-1,-1.374999993E-4,5.499999970E-4,5.156249925E-2
1.431909460E-1,9.624999948E-4,-5.499999970E-4,5.266249925E-2
1.456913050E-1,9.624999948E-4,5.499999970E-4,5.266249925E-2
1.481918410E-1,-1.374999993E-4,-5.499999970E-4,5.059999973E-2
1.506922280E-1,-1.374999993E-4,5.499999970E-4,4.839999974E-2
1.531927640E-1,9.624999948E-4,5.499999970E-4,4.633750021E-2
1.556931510E-1,9.624999948E-4,5.499999970E-4,4.523750022E-2
1.581937110E-1,-1.374999993E-4,-1.649999991E-3,4.207500070E-2
1.606940980E-1,9.624999948E-4,5.499999970E-4,4.097500071E-2
1.631946340E-1,2.062499989E-3,5.499999970E-4,3.671250120E-2
1.656950210E-1,9.624999948E-4,-5.499999970E-4,3.464999795E-2
1.681953480E-1,9.624999948E-4,-5.499999970E-4,3.135000169E-2
1.706958840E-1,-1.374999993E-4,1.649999991E-3,2.928750031E-2
1.731962710E-1,-2.199999988E-3,-5.499999970E-4,2.818750031E-2
1.756968070E-1,-1.374999993E-4,5.499999970E-4,2.392499894E-2
1.781972030E-1,-1.374999993E-4,-5.499999970E-4,2.076249942E-2
1.806977390E-1,-1.374999993E-4,5.499999970E-4,1.869999990E-2
1.831981260E-1,9.624999948E-4,5.499999970E-4,1.539999992E-2
1.856986620E-1,9.624999948E-4,5.499999970E-4,1.333750039E-2
1.881990400E-1,9.624999948E-4,-1.649999991E-3,1.223750040E-2
1.906995760E-1,-1.374999993E-4,-1.649999991E-3,1.017499994E-2
1.931999630E-1,9.624999948E-4,5.499999970E-4,6.874999963E-3
1.957005000E-1,-1.099999994E-3,1.649999991E-3,4.812499974E-3
1.982008760E-1,-1.374999993E-4,5.499999970E-4,1.649999991E-3
2.007014130E-1,-1.374999993E-4,-5.499999970E-4,-1.649999991E-3
2.032017990E-1,2.062499989E-3,5.499999970E-4,-2.612499986E-3
2.057021070E-1,9.624999948E-4,-5.499999970E-4,-3.712499980E-3
2.082026280E-1,-1.374999993E-4,1.649999991E-3,-5.774999969E-3
2.107030150E-1,-1.099999994E-3,-5.499999970E-4,-1.003750041E-2
2.132035520E-1,-1.374999993E-4,5.499999970E-4,-1.003750041E-2
2.157039380E-1,9.624999948E-4,-5.499999970E-4,-1.113750041E-2
2.182044610E-1,-1.374999993E-4,1.649999991E-3,-1.333750039E-2
2.207048470E-1,9.624999948E-4,1.649999991E-3,-1.429999992E-2
2.232053840E-1,-1.374999993E-4,1.649999991E-3,-1.539999992E-2
2.257057700E-1,-1.374999993E-4,1.649999991E-3,-1.649999991E-2
2.282060780E-1,-1.374999993E-4,-5.499999970E-4,-1.856249943E-2
2.307066090E-1,-1.099999994E-3,5.499999970E-4,-1.759999990E-2
2.332069960E-1,-1.374999993E-4,-5.499999970E-4,-1.539999992E-2
2.357075330E-1,-1.099999994E-3,5.499999970E-4,-1.759999990E-2
2.382079190E-1,-1.374999993E-4,1.649999991E-3,-1.759999990E-2
2.407084560E-1,-1.374999993E-4,5.499999970E-4,-2.076249942E-2
2.432088420E-1,9.624999948E-4,5.499999970E-4,-1.759999990E-2
2.457093790E-1,-1.374999993E-4,-1.649999991E-3,-1.856249943E-2
2.482097650E-1,9.624999948E-4,5.499999970E-4,-1.966249943E-2
2.507102920E-1,-1.374999993E-4,5.499999970E-4,-1.966249943E-2
2.532106780E-1,-1.099999994E-3,5.499999970E-4,-2.186249942E-2
2.557112150E-1,-1.374999993E-4,-1.649999991E-3,-1.966249943E-2
2.582116020E-1,9.624999948E-4,1.649999991E-3,-2.186249942E-2
2.607121380E-1,9.624999948E-4,-5.499999970E-4,-2.186249942E-2
