"event","experiment time","system time","system time text"
"START",0.000000000E0,1781009498.165,"2026-06-09 09:51:38.165 UTC-03:00"
"PAUSE",7.325215624E1,1781009571.417,"2026-06-09 09:52:51.417 UTC-03:00"
