"event","experiment time","system time","system time text"
"START",0.000000000E0,1781008306.045,"2026-06-09 09:31:46.045 UTC-03:00"
"PAUSE",6.668011039E1,1781008372.725,"2026-06-09 09:32:52.725 UTC-03:00"
