"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.727099100E-2,9.624999948E-4,3.712499980E-3,4.633750021E-2
2.977049300E-2,9.624999948E-4,-5.499999970E-4,4.413750023E-2
3.227079900E-2,9.624999948E-4,4.812499974E-3,3.891250119E-2
3.477118300E-2,9.624999948E-4,2.612499986E-3,3.671250120E-2
3.727148600E-2,-1.374999993E-4,2.612499986E-3,2.928750031E-2
3.977202400E-2,-1.374999993E-4,5.912499968E-3,2.392499894E-2
4.227241100E-2,-1.374999993E-4,4.812499974E-3,1.966249943E-2
4.477271900E-2,9.624999948E-4,3.712499980E-3,1.223750040E-2
4.727325500E-2,-1.374999993E-4,3.712499980E-3,7.974999957E-3
4.977357400E-2,-1.374999993E-4,4.812499974E-3,2.612499986E-3
5.227395700E-2,-1.374999993E-4,2.612499986E-3,-1.649999991E-3
5.477426600E-2,9.624999948E-4,1.649999991E-3,-4.812499974E-3
5.727480300E-2,-1.099999994E-3,1.649999991E-3,-1.223750040E-2
5.977511700E-2,-1.374999993E-4,3.712499980E-3,-1.856249943E-2
6.227550000E-2,9.624999948E-4,5.499999970E-4,-2.076249942E-2
6.477581000E-2,9.624999948E-4,1.649999991E-3,-2.612499893E-2
6.727634600E-2,-1.374999993E-4,5.499999970E-4,-3.024999984E-2
6.977673800E-2,-1.374999993E-4,1.649999991E-3,-3.355000168E-2
7.227704600E-2,-1.374999993E-4,1.649999991E-3,-3.877500072E-2
7.477758200E-2,-1.099999994E-3,2.612499986E-3,-4.207500070E-2
7.727789200E-2,-1.374999993E-4,3.712499980E-3,-4.633750021E-2
7.977827400E-2,-2.199999988E-3,5.499999970E-4,-5.059999973E-2
8.227857900E-2,-1.374999993E-4,1.649999991E-3,-5.582499877E-2
8.477888700E-2,-1.374999993E-4,2.612499986E-3,-5.898749828E-2
8.727942300E-2,-1.099999994E-3,3.712499980E-3,-6.118749827E-2
8.977973300E-2,-3.299999982E-3,5.499999970E-4,-6.118749827E-2
9.228035500E-2,-3.299999982E-3,1.649999991E-3,-6.228749827E-2
9.478066500E-2,-1.099999994E-3,2.612499986E-3,-6.228749827E-2
9.728105000E-2,-2.199999988E-3,3.712499980E-3,-6.435000151E-2
9.978135700E-2,-2.199999988E-3,2.612499986E-3,-6.228749827E-2
1.022816650E-1,-1.099999994E-3,1.649999991E-3,-6.544999778E-2
1.047821960E-1,-1.099999994E-3,2.612499986E-3,-6.324999779E-2
1.072825060E-1,-1.374999993E-4,-5.499999970E-4,-6.118749827E-2
1.097828890E-1,-1.374999993E-4,5.499999970E-4,-6.228749827E-2
1.122834270E-1,-1.374999993E-4,5.499999970E-4,-6.228749827E-2
1.147837280E-1,-1.374999993E-4,1.649999991E-3,-6.435000151E-2
1.172841110E-1,-1.099999994E-3,-1.649999991E-3,-6.544999778E-2
1.197844200E-1,-1.374999993E-4,-5.499999970E-4,-6.751249731E-2
1.222849570E-1,-2.199999988E-3,5.499999970E-4,-7.081250101E-2
1.247852750E-1,-2.199999988E-3,1.649999991E-3,-6.971249729E-2
1.272856580E-1,-1.099999994E-3,7.974999957E-3,-7.081250101E-2
1.297859680E-1,-2.199999988E-3,-9.074999951E-3,-7.081250101E-2
1.322865040E-1,-3.299999982E-3,-3.712499980E-3,-7.081250101E-2
1.347869010E-1,-1.374999993E-4,2.612499986E-3,-7.287500054E-2
1.372872090E-1,-1.099999994E-3,-1.649999991E-3,-7.081250101E-2
1.397875160E-1,-1.099999994E-3,-3.712499980E-3,-6.861250103E-2
1.422880530E-1,-2.199999988E-3,1.649999991E-3,-6.861250103E-2
1.447884340E-1,-2.199999988E-3,-5.499999970E-4,-6.544999778E-2
1.472887420E-1,-2.199999988E-3,-2.612499986E-3,-6.435000151E-2
1.497892780E-1,-1.374999993E-4,-5.499999970E-4,-6.118749827E-2
1.522895880E-1,-2.199999988E-3,-5.499999970E-4,-5.802499875E-2
1.547898960E-1,-1.099999994E-3,-1.649999991E-3,-5.692499876E-2
1.572902630E-1,-1.374999993E-4,5.499999970E-4,-5.376249924E-2
1.597908020E-1,-1.099999994E-3,2.612499986E-3,-5.156249925E-2
1.622911120E-1,-1.374999993E-4,-1.649999991E-3,-4.633750021E-2
1.647914940E-1,-1.099999994E-3,-1.649999991E-3,-4.303750023E-2
1.672917950E-1,-1.374999993E-4,5.499999970E-4,-3.877500072E-2
1.697923310E-1,-1.374999993E-4,5.499999970E-4,-3.781250119E-2
1.722926410E-1,9.624999948E-4,-5.499999970E-4,-3.355000168E-2
1.747930240E-1,-1.099999994E-3,-1.649999991E-3,-3.244999796E-2
1.772933000E-1,-1.374999993E-4,-5.499999970E-4,-2.818750031E-2
1.797938370E-1,-1.374999993E-4,-5.499999970E-4,-2.282499894E-2
1.822942240E-1,-1.099999994E-3,-5.499999970E-4,-1.856249943E-2
1.847945310E-1,-2.199999988E-3,3.712499980E-3,-1.223750040E-2
1.872948390E-1,9.624999948E-4,2.612499986E-3,-6.874999963E-3
1.897953700E-1,-1.374999993E-4,-1.649999991E-3,-5.499999970E-4
1.922956800E-1,9.624999948E-4,5.499999970E-4,4.812499974E-3
1.947960630E-1,-1.099999994E-3,3.712499980E-3,1.443750039E-2
1.972963720E-1,-1.374999993E-4,2.612499986E-3,2.282499894E-2
1.997968760E-1,9.624999948E-4,-5.499999970E-4,2.928750031E-2
2.022972630E-1,9.624999948E-4,5.499999970E-4,3.781250119E-2
2.047975700E-1,2.062499989E-3,2.612499986E-3,4.523750022E-2
2.072981070E-1,2.062499989E-3,1.649999991E-3,5.266249925E-2
2.097983870E-1,2.062499989E-3,1.649999991E-3,5.912499875E-2
2.122987700E-1,3.162499983E-3,-1.649999991E-3,6.338749826E-2
2.147990800E-1,3.162499983E-3,2.612499986E-3,7.191249728E-2
2.172996160E-1,2.062499989E-3,1.649999991E-3,7.507500052E-2
2.197999210E-1,3.162499983E-3,-5.499999970E-4,7.933750004E-2
2.223003030E-1,3.162499983E-3,1.649999991E-3,8.249999583E-2
2.248008420E-1,3.162499983E-3,1.649999991E-3,8.676250279E-2
2.273011520E-1,2.062499989E-3,-5.499999970E-4,8.992499858E-2
2.298015340E-1,4.124999978E-3,5.499999970E-4,9.102500230E-2
2.323018250E-1,4.124999978E-3,1.649999991E-3,9.308750182E-2
2.348023610E-1,2.062499989E-3,-5.499999970E-4,9.418749809E-2
2.373026710E-1,2.062499989E-3,5.499999970E-4,9.735000134E-2
2.398030540E-1,2.062499989E-3,1.649999991E-3,9.735000134E-2
2.423033580E-1,2.062499989E-3,1.649999991E-3,9.528750181E-2
2.448038950E-1,2.062499989E-3,5.499999970E-4,9.528750181E-2
2.473042820E-1,2.062499989E-3,2.612499986E-3,9.528750181E-2
2.498045890E-1,3.162499983E-3,5.499999970E-4,9.308750182E-2
2.523051260E-1,2.062499989E-3,-5.499999970E-4,9.212499857E-2
2.548054350E-1,2.062499989E-3,5.499999970E-4,8.786249906E-2
2.573057430E-1,2.062499989E-3,1.649999991E-3,8.139999956E-2
2.598061260E-1,2.062499989E-3,1.649999991E-3,7.507500052E-2
2.623064350E-1,2.062499989E-3,5.499999970E-4,7.081250101E-2
2.648069720E-1,5.224999972E-3,5.499999970E-4,6.435000151E-2
2.673072820E-1,3.162499983E-3,1.649999991E-3,5.486249924E-2
2.698076640E-1,9.624999948E-4,5.499999970E-4,5.059999973E-2
2.723082030E-1,2.062499989E-3,1.649999991E-3,4.207500070E-2
2.748085070E-1,3.162499983E-3,-1.649999991E-3,3.561250120E-2
2.773088900E-1,2.062499989E-3,5.499999970E-4,2.818750031E-2
2.798092000E-1,9.624999948E-4,-1.649999991E-3,2.186249942E-2
2.823097360E-1,9.624999948E-4,-5.499999970E-4,1.539999992E-2
2.848100650E-1,9.624999948E-4,-5.499999970E-4,1.443750039E-2
2.873104470E-1,-1.374999993E-4,5.499999970E-4,1.113750041E-2
2.898107570E-1,9.624999948E-4,-1.649999991E-3,4.812499974E-3
2.923112940E-1,-1.099999994E-3,5.499999970E-4,3.712499980E-3
2.948116750E-1,-1.374999993E-4,5.499999970E-4,5.499999970E-4
2.973119830E-1,9.624999948E-4,1.649999991E-3,-1.649999991E-3
2.998125190E-1,-1.374999993E-4,-5.499999970E-4,-4.812499974E-3
3.023128290E-1,-1.374999993E-4,5.499999970E-4,-5.774999969E-3
3.048131980E-1,-1.099999994E-3,-5.499999970E-4,-4.812499974E-3
3.073135070E-1,9.624999948E-4,1.649999991E-3,-1.003750041E-2
3.098140440E-1,-1.374999993E-4,-1.649999991E-3,-1.333750039E-2
3.123143540E-1,-1.099999994E-3,5.499999970E-4,-1.429999992E-2
3.148147650E-1,-1.374999993E-4,-5.499999970E-4,-1.759999990E-2
3.173150750E-1,-1.374999993E-4,5.499999970E-4,-1.856249943E-2
3.198156110E-1,-1.099999994E-3,-1.649999991E-3,-2.076249942E-2
3.223159210E-1,-1.374999993E-4,-5.499999970E-4,-2.186249942E-2
3.248163180E-1,-1.374999993E-4,-1.649999991E-3,-2.282499894E-2
3.273166270E-1,-1.374999993E-4,-5.499999970E-4,-2.186249942E-2
3.298171640E-1,-1.374999993E-4,-5.499999970E-4,-2.392499894E-2
3.323174740E-1,9.624999948E-4,5.499999970E-4,-2.186249942E-2
3.348178320E-1,-1.374999993E-4,-5.499999970E-4,-1.856249943E-2
3.373181420E-1,-1.374999993E-4,-5.499999970E-4,-1.856249943E-2
3.398186780E-1,-1.374999993E-4,-1.649999991E-3,-1.539999992E-2
3.423190650E-1,-1.374999993E-4,-1.649999991E-3,-1.429999992E-2
3.448193780E-1,9.624999948E-4,5.499999970E-4,-1.429999992E-2
3.473199140E-1,-1.099999994E-3,5.499999970E-4,-1.113750041E-2
3.498202240E-1,-1.374999993E-4,1.649999991E-3,-9.074999951E-3
3.523206060E-1,-1.374999993E-4,5.499999970E-4,-5.774999969E-3
3.548209160E-1,-1.374999993E-4,5.499999970E-4,-3.712499980E-3
3.573214240E-1,2.062499989E-3,1.649999991E-3,-2.612499986E-3
3.598217330E-1,9.624999948E-4,1.649999991E-3,-5.499999970E-4
3.623221160E-1,9.624999948E-4,-1.649999991E-3,1.649999991E-3
3.648224260E-1,9.624999948E-4,-5.499999970E-4,4.812499974E-3
3.673229710E-1,9.624999948E-4,5.499999970E-4,4.812499974E-3
3.698232810E-1,9.624999948E-4,5.499999970E-4,5.912499968E-3
3.723236630E-1,2.062499989E-3,-5.499999970E-4,1.017499994E-2
3.748239730E-1,-1.374999993E-4,5.499999970E-4,1.113750041E-2
3.773245250E-1,9.624999948E-4,-1.649999991E-3,1.333750039E-2
3.798248340E-1,9.624999948E-4,-5.499999970E-4,1.333750039E-2
